"타임스탬프","연령 및 성별을 선택 해 주세요.","마카롱에 대한 본인의 선호도는?","1. 평소에 마카롱가게에 대한 정보를 어떻게 얻습니까? (복수 선택 가능)","2. 평소 마카롱을 구매하는 방법은? (복수 선택 가능)","3. 마카롱 구매시 불편했던 점은 무엇입니까? (복수 선택 가능)","4. 마카롱 관련 정보 사이트가 필요하다고 생각하십니까?","4-1. 4번에서 필요하다고 답하신 경우, 이유는 무엇입니까?","4-2. 4번에서 필요없다고 답하신 경우,  이유는 무엇입니까?","5. 마카롱 관련 정보 사이트가 생길 시 , 필요하다고 생각하는 서비스는 무엇입니까? (복수 선택 가능)","5-1. 4번의 보기이 외에 바라는 서비스를 작성해주세요. (없으면 'X'기입)","6. 마카롱을 구매하면서 매장에 바라는 점이 있다면 작성해주세요. (없으면 X 기입)","* 평소 좋아하는 맛의 마카롱은? (복수선택 가능)","* 평소 구매하는 마카롱의 개당 가격은 얼마입니까?","* 본인 취향의 마카롱은? (복수 선택 가능)","* 마카롱을 얼마나 자주 구매하십니까?","* 한 번 구매할 때,  몇개씩 구매하십니까?","응답해주셔서 감사합니다 ♥♥♥ 기타 하실 말씀이 있으시면 작성해주세요:)"
"2018/10/11 11:01:43 오전 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS;지인소개","예약하지 않고 방문","* 불편했던 적이 없다.","불필요","","sns 만으로도 충분","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;마카롱 영양 정보 (칼로리 , 원재료 등)","X","X","맛을 가리지 않고 좋아한다.","2200원~2500원","꼬끄가 쫀득한 마카롱","끌릴 때 마다","5개 이내","도토의 과제를 응원합니다🌹❤️"
"2018/10/11 11:04:05 오전 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS;지인소개","예약 후 방문;예약하지 않고 방문","한정된 가게 정보;예약시 불편함;예약시 마감이 언제 되었는지 알기 어려움","필요","마카롱을 너무 좋아해서요","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","많이 만들어주세요.. 품절됐을때 마다 맘아파유","크림치즈;소금바닐라","2200원~2500원","꼬끄가 쫀득한 마카롱;필링이 많이 들어간 마카롱 (뚱카롱)","끌릴 때 마다","10개 이내",""
"2018/10/11 11:32:44 오전 GMT+9","10대 / 여","5","인스타그램 / 페이스북 등 SNS","예약하지 않고 방문;택배","가격을 미리 알 수 없음;품절 여부를 알 수 없음","필요","","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부","x","x","맛을 가리지 않고 좋아한다.","2200원~2500원","꼬끄가 쫀득한 마카롱;필링이 많이 들어간 마카롱 (뚱카롱);재료 본연의 맛이 느껴지는 마카롱","끌릴 때 마다","1~2개",""
"2018/10/11 11:33:07 오전 GMT+9","20대 / 여","3","인스타그램 / 페이스북 등 SNS","예약하지 않고 방문","한정된 가게 정보","불필요","","귀찮","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부","X","X","과일, 과일 잼/ 요거트 등이 들어간 마카롱","2200원~2500원","재료 본연의 맛이 느껴지는 마카롱","월 1~2회","5개 이내",""
"2018/10/11 11:42:35 오전 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS","예약하지 않고 방문","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","필요","있다면 너무 편리할 것 같아서!!","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","X","바닐라;크림치즈;녹차","2500원~3000원","마카롱이라면 다 좋아함.;필링이 많이 들어간 마카롱 (뚱카롱)","주 2~3회","5개 이내","강의 중에 하구 갑니다 🤣 마카롱... 넘 최고... 오늘도 뚱카롱 먹으러 갈 건뎅 마카롱 한 하루 보내세용 과제두 파이팅  (๑•̀ω•́)۶ 💖"
"2018/10/11 11:55:10 오전 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS;지인소개","예약 후 방문;예약하지 않고 방문","가격을 미리 알 수 없음;품절 여부를 알 수 없음","불필요","","불편하긴 하지만 인스타로도 충분히 정보 습득이 가능해서","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","X","카라멜 / 크림브륄레;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱;오레오 / 뽀또 등 기성 과자가 들어간 마카롱;녹차","2200원~2500원","꼬끄가 쫀득한 마카롱;필링이 많이 들어간 마카롱 (뚱카롱)","끌릴 때 마다","10개 이내",""
"2018/10/11 12:00:22 오후 GMT+9","20대 / 여","4","인스타그램 / 페이스북 등 SNS","예약 후 방문","가격을 미리 알 수 없음;품절 여부를 알 수 없음","필요","편리","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","X","녹차","2000원~ 2200원","꼬끄가 쫀득한 마카롱;필링이 많이 들어간 마카롱 (뚱카롱);재료 본연의 맛이 느껴지는 마카롱","주 1회","10개 이내","화이팅~~!"
"2018/10/11 12:03:21 오후 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS","예약 후 방문;예약하지 않고 방문","한정된 가게 정보;가격을 미리 알 수 없음;품절 여부를 알 수 없음","필요","","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","","맛을 가리지 않고 좋아한다.","2200원~2500원","꼬끄가 쫀득한 마카롱;재료 본연의 맛이 느껴지는 마카롱","주 2~3회","5개 이내",""
"2018/10/11 12:17:19 오후 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등","예약 후 방문;예약하지 않고 방문","가격을 미리 알 수 없음;오픈 여부를 알 수 없음;품절 여부를 알 수 없음","불필요","","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;마카롱 예약 게시판;매장별 실시간 품절 여부","X","X","바닐라;인절미 / 흑임자","2000원 이하","꼬끄가 쫀득한 마카롱","주 1회","5개 이내",""
"2018/10/11 12:18:02 오후 GMT+9","20대 / 여","4","길거리에서 우연히 찾음","예약하지 않고 방문","가격을 미리 알 수 없음;오픈 여부를 알 수 없음;품절 여부를 알 수 없음","불필요","","Sns를 통해서 여러 정보를 알 수 있으므로","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","X","인절미 / 흑임자","2000원 이하","마카롱이라면 다 좋아함.;꼬끄가 쫀득한 마카롱;필링이 많이 들어간 마카롱 (뚱카롱)","끌릴 때 마다","5개 이내",""
"2018/10/11 12:23:22 오후 GMT+9","10대 / 여","4","인스타그램 / 페이스북 등 SNS;지인소개;길거리에서 우연히 찾음","예약하지 않고 방문","가격을 미리 알 수 없음;비싸요...","불필요","","인스타에 검색만 해도 나와서","매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","가격별로 정리된 플랫폼","X","맛을 가리지 않고 좋아한다.","2000원~ 2200원","필링이 많이 들어간 마카롱 (뚱카롱)","끌릴 때 마다","1~2개",""
"2018/10/11 12:25:16 오후 GMT+9","20대 / 여","4","지인소개;디저트페어 ","예약하지 않고 방문","가격을 미리 알 수 없음","필요","여러모로 편할듯","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 예약 게시판","x","","인절미 / 흑임자","2000원 이하","꼬끄가 쫀득한 마카롱","끌릴 때 마다","5개 이내",""
"2018/10/11 12:49:40 오후 GMT+9","20대 / 여","5","길거리에서 우연히 찾음","예약하지 않고 방문","다이어터여서 많이 못먹는다","불필요","","집앞에 마카롱맛집있으니까,,?","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 클래스 신청 게시판;매장별 실시간 품절 여부;마카롱 영양 정보 (칼로리 , 원재료 등)","낮은칼로리의 마카랑도 좀 만들어주셨으면ㅎ","x","초콜렛 / 쇼콜라;바닐라;카라멜 / 크림브륄레;크림치즈;녹차","2500원~3000원","꼬끄가 쫀득한 마카롱;필링이 많이 들어간 마카롱 (뚱카롱);재료 본연의 맛이 느껴지는 마카롱","월 1~2회","5개 이내","마카롱 흥해라흥~"
"2018/10/11 12:56:14 오후 GMT+9","10대 / 여","3","인스타그램 / 페이스북 등 SNS","예약 후 방문","예약시 불편함","불필요","","굳이... 각 매장마다 인스타그램으로 알 수 있으니까","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부","X","X","초콜렛 / 쇼콜라;카라멜 / 크림브륄레;크림치즈;녹차;인절미 / 흑임자","2000원~ 2200원","꼬끄가 쫀득한 마카롱","끌릴 때 마다","10개 이상","마카롱 주세요~~"
"2018/10/11 1:15:33 오후 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등;지인소개;길거리에서 우연히 찾음","예약하지 않고 방문","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","필요","사기 불편해서 ","","가게 정보 (주소, 오픈시간, 라인업,가격 등);마카롱 만드는 방법;마카롱 클래스 신청 게시판;마카롱 예약 게시판;매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스;마카롱 영양 정보 (칼로리 , 원재료 등)","X","맛있게 만들어 주세요. 돈은 얼마든지 드릴테니 제발.","과일, 과일 잼/ 요거트 등이 들어간 마카롱;녹차;인절미 / 흑임자","","꼬끄가 쫀득한 마카롱","월 1~2회","5개 이내","마카롱을 위해 노력하시는 당신, 멋있습니다."
"2018/10/11 1:15:48 오후 GMT+9","20대 / 여","5","블로그 / 네이버 지도 등;지인소개","예약하지 않고 방문","오픈 여부를 알 수 없음;품절 여부를 알 수 없음","필요","정보들을 한꺼번에 보고 싶어서","","가게 정보 (주소, 오픈시간, 라인업,가격 등);매장별 실시간 품절 여부;구매자 리뷰(평가) 서비스","X","X","초콜렛 / 쇼콜라;바닐라;크림치즈;과일, 과일 잼/ 요거트 등이 들어간 마카롱","2000원 이하","꼬끄가 쫀득한 마카롱","월 1~2회","10개 이상",""
"2018/10/11 1:19:29 오후 GMT+9","20대 / 여","5","인스타그램 / 페이스북 등 SNS;블로그 / 네이버 지도 등","예약하지 않고 방문","* 불편했던 적이 없다.","필요","맛있겠다 허억","","가게 정보 (주소, 오픈시간, 라인업,가격 등)","마카롱 먹는 ASMR 영상","x","초콜렛 / 쇼콜라;크림치즈","2000원~ 2200원","꼬끄가 쫀득한 마카롱;필링이 많이 들어간 마카롱 (뚱카롱)","월 1~2회","5개 이내","대나무숲에 마카롱 페이지 욕 적어놓을거임"
